JD,m_B,m_V
2453487.531,13.86,13.7
2453510.379,12.15,11.82
2453519.416,13.33,13.45
2453535.473,13.93,13.54
2453881.434,13.89,13.91
2453883.455,13.86,13.83
2453886.484,13.77,12.9
2453890.439,12.02,11.74
2453899.436,14.87,13.81
2453900.405,14.9,14.32
2453902.454,14.64,14.37
2453970.33,13.95,12.54
2454148.647,12.83,12.71
2454158.619,14.43,13.95
2454163.604,12.19,12.16
2454168.591,13.78,13.54
2454170.601,14.44,14.15
2454172.646,14.41,14
2454173.619,14.46,14.07
2454175.574,14.73,14.21
2454197.631,13.52,13.31
2454209.528,12.1,12.05
2454211.526,12.43,12.21
2454214.469,13.57,13.33
2454227.524,12.76,12.63
2454229.494,13.4,13.2
2454236.509,13.24,13.1
2454238.474,12.97,12.83
2454239.466,12.64,12.5
2454241.475,12.32,12.22
2454243.461,12.79,12.4
2454291.782,14.629,14.123
2454295.387,14.51,14.08
2454331.705,12.32,12.31
2454333.644,12.92,12.82
2454334.649,13.29,13.12
2454343.667,11.92,11.94
2454346.632,11.82,11.84
2454347.647,11.98,12
2454362.62,12.91,12.83
2454363.609,13.46,13.33
2454367.64,14.21,13.91
2454368.614,14.4,13.96
2454369.605,14.24,13.9
2454372.607,12.04,12.07
2454378.598,14.39,14.03
2454379.616,14.4,13.97
2454381.598,14.33,13.93
2454383.592,14.16,13.76
2454386.598,12.02,12.02
2454392.607,12.9,12.8
2454401.577,12.96,12.83
2454402.577,12.79,12.71
2454405.57,12.73,12.64
2454406.57,13.16,12.99
2454406.571,12.93,12.86
2454407.57,13.11,13
2454489.71,11.57,11.65
2454491.704,12.02,11.93
2454502.69,12.41,12.32
2454504.669,12.42,12.33
2454505.666,12.7,12.63
2454511.683,14.32,13.85
2454554.535,13.23,13.06
2454561.518,13.85,13.57
2454562.548,13.88,13.58
2454589.491,12.56,12.45
2454613.318,13.15,12.81
2454616.692,12.941,12.729
2454618.656,12.887,12.673
2454622.468,12.97,12.58
2454688.823,11.75,11.594
2454701.707,13.181,13.303
2454738.64,12.56,12.32
2454748.592,12.43,12.38
2454759.601,12.66,12.54
2454766.6,14.32,13.87
2454768.602,12.39,12.29
2454877.674,14.01,13.72
2454881.638,14.55,14.08
2454884.63,14.4,13.94
2454907.566,11.96,11.98
2454912.552,12.74,12.62
2454927.747,12.6,12.49
2454928.723,12.62,12.48
2454942.773,12.215,11.961
2454943.724,12.349,12.116
2454945.724,12.766,12.481
2454948.737,13.177,12.808
2454951.686,12.58,12.42
2454956.549,12.623,12.457
2454957.715,12.52,12.4
2454958.72,12.712,12.44
2454959.699,12.62,12.57
2454960.742,12.749,12.413
2454961.74,12.696,12.429
2454962.72,12.709,12.386
2454965.74,12.685,12.392
2454967.732,12.623,12.312
2454969.739,12.582,12.341
2454974.421,12.627,12.437
2454978.445,12.819,12.601
2454985.653,12.643,12.397
2454986.64,12.676,12.395
2454987.703,12.68,12.55
2454990.641,12.711,12.428
2454993.641,12.467,12.197
2454994.656,12.369,12.096
2454994.84,12.339,11.961
2455011.425,12.555,12.428
2455023.641,12.907,12.61
2455038.689,12.42,12.37
2455044.66,12.76,12.62
2455056.646,12.75,12.62
2455060.677,12.7,12.58
2455072.702,12.53,12.46
2455215.733,12.586,12.435
2455216.727,12.571,12.411
2455220.718,12.589,12.349
2455261.687,12.514,12.338
2455292.567,12.651,12.483
2455293.602,12.651,12.485
2455296.566,12.392,12.266
2455338.456,12.292,12.12
2455410.388,12.759,12.406
2455414.37,12.816,12.563
2455422.408,14.026,13.696
2455425.342,13.842,13.483
2455428.339,14.022,13.606
2455460.273,14.043,13.72
2455466.242,12.513,12.369
2455468.289,13.457,12.909
2455480.271,13.637,13.363
2455584.719,13.684,13.752
2455733.381,14.309,13.767
2455738.367,13.915,13.597
2455774.377,13.774,13.003
2455782.36,13.726,13.345
2455792.411,14.322,13.819
2455980.633,12.764,12.595
2455982.627,12.766,12.639
2455987.663,12.848,12.698
2456000.578,12.791,12.663
2456010.629,12.607,12.462
2456059.547,12.616,12.501
2456077.43,12.712,12.638
2456087.674,13.884,13.56
2456088.647,13.857,13.452
2456153.357,12.887,12.631
2456160.382,13.157,12.858
2456160.617,13.084,12.88
2456164.617,13.005,12.809
2456166.651,12.998,12.791
2456167.618,12.966,12.738
2456172.612,12.68,12.545
2456179.627,12.9,12.691
2456180.607,12.892,12.67
2456181.61,12.907,12.669
2456184.607,12.792,12.596
2456185.597,12.854,12.609
2456186.607,12.745,12.527
2456221.541,13.051,12.742
2456298.01,13.969,13.495
2456394.706,13.112,12.932
2456411.651,14.276,13.856
2456438.464,12.518,12.423
2456439.43,12.819,12.617
2456442.84,13.685,13.408
2456443.513,13.917,13.494
2456445.471,13.587,13.269
2456445.571,13.39,13.264
2456447.486,12.945,12.736
