JD,m_B,m_V
2456167.915,15.105,15.38
2456168.784,15.243,15.419
2456170.953,15.05,15.292
2456181.737,14.877,15.139
2456181.741,14.879,15.207
2456182.811,14.875,15.113
2456206.686,14.992,15.346
2456208.758,14.98,15.272
2456210.718,15.001,15.336
2456213.692,15.053,15.422
2456214.783,15.064,15.457
2456266.716,15.175,15.509
2456267.639,15.179,15.326
2456267.646,15.034,15.325
2456268.664,15.061,15.315
2456269.665,15.032,15.256
2456272.653,15.014,15.287
2456273.656,15.026,15.263
2456278.643,15.282,15.247
2456279.645,15.007,15.234
2456328.605,14.978,15.209
