JD,m_B,m_V
2457831.79,13.088,12.973
2457833.565,13.49,13.194
2457834.544,13.62,13.388
2457834.785,13.53,13.345
2457836.601,13.521,13.417
2457836.785,13.714,13.482
2457837.333,13.894,13.6315
2457837.334,13.921,13.658
2457837.335,13.901,13.633
2457837.336,13.938,13.6949
2457837.337,13.867,13.5744
2457837.337,13.815,13.575
2457837.338,13.833,13.567
2457837.339,13.805,13.5875
2457837.34,13.88,13.6
2457837.341,13.807,13.5536
2457837.342,13.788,13.525
2457837.343,13.717,13.3714
2457837.344,13.767,13.529
2457837.345,13.771,13.4658
2457837.346,13.795,13.4857
2457837.347,13.814,13.571
2457837.348,13.802,13.5761
2457837.349,13.826,13.5221
2457837.349,13.859,13.5221
2457837.35,13.869,13.497
2457837.351,13.829,13.494
2457837.352,13.892,13.554
2457837.353,13.909,13.565
2457837.354,13.886,13.5689
2457837.355,13.88,13.548
2457837.356,13.888,13.619
2457837.357,13.916,13.6029
2457837.358,13.944,13.6995
2457837.359,13.904,13.5967
2457837.36,13.885,13.6178
2457837.36,13.856,13.584
2457837.361,13.9,13.5901
2457837.362,13.928,13.6915
2457837.363,13.926,13.722
2457837.364,13.934,13.6746
2457837.365,13.943,13.828
2457837.366,14,13.827
2457837.367,13.971,13.7121
2457837.368,13.94,13.7022
2457837.369,13.928,13.6414
2457837.37,13.869,13.674
2457837.371,13.804,13.611
2457837.372,13.725,13.517
2457837.372,13.709,13.3941
2457837.373,13.763,13.528
2457837.374,13.755,13.4267
2457837.375,13.777,13.571
2457837.376,13.807,13.5382
2457837.377,13.809,13.5611
2457837.378,13.833,13.6131
2457837.379,13.839,13.594
2457837.38,13.853,13.665
2457837.381,13.864,13.5597
2457837.382,13.885,13.66
2457837.383,13.875,13.628
2457837.383,13.895,13.5614
2457837.384,13.83,13.663
2457837.385,13.83,13.588
2457837.386,13.747,13.573
2457837.387,13.792,13.543
2457837.388,13.774,13.551
2457837.389,13.76,13.55
2457837.39,13.787,13.548
2457837.391,13.767,13.528
2457837.392,13.768,13.543
2457837.393,13.791,13.5472
2457837.394,13.787,13.563
2457837.395,13.841,13.52
2457837.395,13.871,13.639
2457837.396,13.91,13.5865
2457837.397,13.907,13.69
2457837.398,13.887,13.682
2457837.399,13.891,13.5149
2457837.4,13.886,13.714
2457837.401,13.903,13.659
2457837.402,13.959,13.773
2457837.403,13.985,13.693
2457837.404,13.956,13.741
2457837.405,14.002,13.7359
2457837.406,13.943,13.754
2457837.406,13.866,13.5944
2457837.407,13.916,13.632
2457837.408,13.949,13.6885
2457837.409,13.961,13.754
2457837.41,13.974,13.7579
2457837.411,14.062,13.854
2457837.412,14.074,13.883
2457837.413,14.057,13.6848
2457837.414,14.04,13.725
2457837.415,13.954,13.814
2457837.416,13.924,13.717
2457837.417,13.918,13.6265
2457837.418,13.857,13.5326
2457837.418,13.795,13.655
2457837.419,13.764,13.623
2457837.42,13.761,13.55
2457837.421,13.768,13.503
2457837.423,13.811,13.5114
2457837.424,13.795,13.621
2457837.425,13.811,13.5142
2457837.426,13.874,13.641
2457837.427,13.848,13.5305
2457837.428,13.816,13.616
2457837.429,13.823,13.6058
2457837.429,13.881,13.619
2457837.43,13.879,13.5607
2457837.431,13.847,13.647
2457837.432,13.831,13.5416
2457837.433,13.787,13.5017
2457837.434,13.749,13.533
2457837.435,13.776,13.5023
2457837.436,13.743,13.487
2457837.437,13.794,13.519
2457837.438,13.766,13.502
2457837.439,13.805,13.579
2457837.44,13.822,13.5281
2457837.441,13.795,13.577
2457837.441,13.817,13.605
2457837.442,13.861,13.607
2457837.443,13.889,13.6068
2457837.444,13.871,13.66
2457837.445,13.886,13.5997
2457837.446,13.901,13.693
2457837.447,13.938,13.742
2457837.448,13.997,13.793
2457837.449,14.042,13.778
2457837.45,14.026,13.844
2457837.451,14.072,13.854
2457837.452,14.1,13.913
2457837.453,14.086,13.8256
2457837.454,14.012,13.7582
2457837.455,13.974,13.819
2457837.46,14.131,13.913
2457837.47,13.799,13.5296
2457837.48,13.848,13.5693
2457837.49,13.915,13.6083
2457837.499,13.986,13.795
2457838.818,13.956,13.644
2457838.82,13.912,13.611
2457838.83,13.818,13.544
2457838.84,13.787,13.39
2457838.85,13.79,13.482
2457838.86,13.822,13.527
2457838.87,13.91,13.626
2457841.613,13.712,13.521
2457843.603,14.457,14.28
2457845.551,14.423,14.173
2457845.566,14.622,14.2161
2457845.58,14.339,14.023
2457845.597,14.348,14.0638
2457845.598,14.403,14.0944
2457845.6,14.628,14.576
2457845.611,14.475,14.252
2457845.62,14.397,14.156
2457845.631,14.436,14.254
2457845.64,14.267,14.047
2457845.65,14.609,14.439
2457845.661,14.59,14.348
2457845.67,14.249,14.06
2457845.68,14.301,14.042
2457845.692,14.615,14.536
2457845.7,14.451,14.165
2457845.71,14.48,14.266
2457845.72,14.312,14.105
2457845.732,14.238,14.062
2457845.744,14.613,14.621
2457845.757,14.552,14.271
2457845.762,14.475,14.226
2457845.774,14.34,14.085
2457845.78,14.279,14.056
2457845.79,14.597,14.342
2457846.511,14.437,14.232
2457847.574,14.788,14.509
2457848.426,14.658,14.655
2457850.575,14.831,14.565
2457852.546,15.015,14.565
2457852.905,14.804,14.757
2457853.577,15.078,14.604
2457855.383,15.241,14.795
2457855.4,15.151,14.927
2457855.42,15.199,14.874
