time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1983.7021055289833,3.0829031e+00,1.8488150e-03,3.8888447e-03,36299,2015.71827,1765.83512,3.4965012e+03,2.1130154e+00,7.8646887e+02,6.6169322e-01,4.7202041e+03,2.8307033e+00,1000000000,,,,,2015.71827,3.4814625e-04,1765.83512,3.4542315e-04,-3.7491839e-02,-6.2378079e-02
1983.7229390148823,2.5111670e+00,1.8561740e-03,3.8890068e-03,36300,2015.71739,1765.83403,3.4727998e+03,2.1214256e+00,8.3687274e+02,6.7269164e-01,3.8448242e+03,2.8419704e+00,0,,,,,2015.71739,3.5226526e-04,1765.83403,3.4963732e-04,-3.3852801e-02,-5.9510551e-02
1983.743772501014,2.5531192e+00,1.8753849e-03,3.8891691e-03,36301,2015.71836,1765.83409,3.5381201e+03,2.1433818e+00,8.8874896e+02,6.7703956e-01,3.9090566e+03,2.8713841e+00,0,,,,,2015.71836,3.4932865e-04,1765.83409,3.4720558e-04,-2.8793549e-02,-5.9966527e-02
1983.764605988079,2.6067913e+00,1.8955990e-03,3.8893323e-03,36302,2015.72004,1765.83457,3.5981025e+03,2.1664846e+00,9.3715442e+02,6.8612719e-01,3.9912334e+03,2.9023337e+00,0,,,,,2015.72004,3.4812873e-04,1765.83457,3.4524707e-04,-3.3328556e-02,-6.0804319e-02
1983.785439475609,2.5437274e+00,1.8925315e-03,3.8894960e-03,36303,2015.71964,1765.83251,3.5204668e+03,2.1629789e+00,9.8289966e+02,6.9132096e-01,3.8946770e+03,2.8976371e+00,0,,,,,2015.71964,3.5526743e-04,1765.83251,3.5356186e-04,-3.2041151e-02,-6.3714527e-02
1983.8062729638373,2.4310360e+00,1.8916465e-03,3.8896604e-03,36304,2015.71762,1765.83397,3.4514490e+03,2.1619678e+00,1.0240110e+03,7.0361084e-01,3.7221362e+03,2.8962822e+00,0,,,,,2015.71762,3.6243969e-04,1765.83397,3.6048426e-04,-2.7805781e-02,-5.9839305e-02
1983.827106452531,2.3825591e+00,1.8904113e-03,3.8898252e-03,36305,2015.71780,1765.83263,3.4112522e+03,2.1605556e+00,1.0604666e+03,7.0407885e-01,3.6479136e+03,2.8943908e+00,0,,,,,2015.71780,3.6720544e-04,1765.83263,3.6511075e-04,-2.4516214e-02,-6.1035901e-02
1983.8479399419234,2.3656940e+00,1.8975231e-03,3.8899907e-03,36306,2015.71795,1765.83191,3.4136345e+03,2.1686838e+00,1.0900668e+03,7.1136898e-01,3.6220920e+03,2.9052796e+00,0,,,,,2015.71795,3.6846826e-04,1765.83191,3.6643396e-04,-2.2518670e-02,-6.2168773e-02
1983.8687734320142,2.3335817e+00,1.9028708e-03,3.8901570e-03,36307,2015.71779,1765.83339,3.3997400e+03,2.1747959e+00,1.1154623e+03,7.1443564e-01,3.5729248e+03,2.9134676e+00,0,,,,,2015.71779,3.7124087e-04,1765.83339,3.6933986e-04,-2.8670056e-02,-5.9943173e-02
1983.8896069225707,2.3975389e+00,1.9188968e-03,3.8903237e-03,36308,2015.71971,1765.83303,3.4989541e+03,2.1931117e+00,1.1337811e+03,7.1907932e-01,3.6708494e+03,2.9380047e+00,0,,,,,2015.71971,3.6321141e-04,1765.83303,3.6113837e-04,-2.6930680e-02,-5.9965789e-02
1983.9104404138257,2.4158413e+00,1.9290482e-03,3.8904911e-03,36309,2015.72023,1765.83287,3.5393567e+03,2.2047138e+00,1.1508057e+03,7.2164774e-01,3.6988721e+03,2.9535475e+00,0,,,,,2015.72023,3.6088750e-04,1765.83287,3.5894132e-04,-2.5603967e-02,-5.8966637e-02
1983.9312739055472,2.2945173e+00,1.9143898e-03,3.8906590e-03,36310,2015.71903,1765.83227,3.4247485e+03,2.1879609e+00,1.1665392e+03,7.2290063e-01,3.5131138e+03,2.9311042e+00,0,,,,,2015.71903,3.7080178e-04,1765.83227,3.6859105e-04,-2.5347788e-02,-5.9282444e-02
1983.9521073977335,2.3054123e+00,1.9224820e-03,3.8908273e-03,36311,2015.71917,1765.83293,3.4495913e+03,2.1972094e+00,1.1806726e+03,7.2787678e-01,3.5297949e+03,2.9434941e+00,0,,,,,2015.71917,3.6968148e-04,1765.83293,3.6754337e-04,-2.7564296e-02,-6.0116149e-02
1983.9729408908502,2.2995405e+00,1.9282060e-03,3.8909966e-03,36312,2015.72006,1765.83338,3.4642554e+03,2.2037513e+00,1.1989623e+03,7.2880822e-01,3.5208049e+03,2.9522579e+00,0,,,,,2015.72006,3.6931891e-04,1765.83338,3.6726499e-04,-2.5329592e-02,-5.9488751e-02
1983.9937743842006,2.2625685e+00,1.9250984e-03,3.8911661e-03,36313,2015.71905,1765.83318,3.4249561e+03,2.2001998e+00,1.2170529e+03,7.3262352e-01,3.4641973e+03,2.9475000e+00,0,,,,,2015.71905,3.7370191e-04,1765.83318,3.7087177e-04,-2.3749640e-02,-6.1011385e-02
1984.01460787825,2.2631681e+00,1.9385823e-03,3.8913363e-03,36314,2015.72024,1765.83334,3.4599597e+03,2.2156105e+00,1.2377560e+03,7.3413277e-01,3.4651155e+03,2.9681451e+00,0,,,,,2015.72024,3.7184230e-04,1765.83334,3.7075017e-04,-2.4153965e-02,-5.9911124e-02
1984.0354413727646,2.2346253e+00,1.9344771e-03,3.8915069e-03,36315,2015.71833,1765.83282,3.4337261e+03,2.2109187e+00,1.2602767e+03,7.4049431e-01,3.4214138e+03,2.9618597e+00,0,,,,,2015.71833,3.7452020e-04,1765.83282,3.7197088e-04,-2.7413893e-02,-5.8120310e-02
1984.0562748679777,2.2172513e+00,1.9401402e-03,3.8916783e-03,36316,2015.71868,1765.83246,3.4375618e+03,2.2173910e+00,1.2830269e+03,7.4247986e-01,3.3948127e+03,2.9705303e+00,0,,,,,2015.71868,3.7581025e-04,1765.83246,3.7264952e-04,-2.3496108e-02,-6.1837878e-02
1984.0771083634236,2.1805015e+00,1.9403644e-03,3.8918499e-03,36317,2015.71873,1765.83260,3.4134626e+03,2.2176471e+00,1.3048032e+03,7.4512321e-01,3.3385452e+03,2.9708736e+00,0,,,,,2015.71873,3.7817066e-04,1765.83260,3.7620947e-04,-3.0024298e-02,-5.8251742e-02
1984.097941859568,2.1086755e+00,1.9387680e-03,3.8920222e-03,36318,2015.71775,1765.83204,3.3716943e+03,2.2158227e+00,1.3290383e+03,7.5055474e-01,3.2285732e+03,2.9684293e+00,0,,,,,2015.71775,3.8247713e-04,1765.83204,3.8053951e-04,-2.4587387e-02,-6.1155993e-02
1984.118775356178,2.0938332e+00,1.9443445e-03,3.8921949e-03,36319,2015.71801,1765.83244,3.3669094e+03,2.2221961e+00,1.3537699e+03,7.5297403e-01,3.2058484e+03,2.9769676e+00,0,,,,,2015.71801,3.8393616e-04,1765.83244,3.8297049e-04,-2.3233313e-02,-5.9615310e-02
1984.1396088532538,2.1306794e+00,1.9539120e-03,3.8923682e-03,36320,2015.71871,1765.83163,3.4071592e+03,2.2331307e+00,1.3749991e+03,7.5482380e-01,3.2622629e+03,2.9916162e+00,0,,,,,2015.71871,3.8334905e-04,1765.83163,3.7978019e-04,-2.3433378e-02,-6.3693449e-02
1984.160442351029,2.0410483e+00,1.9466258e-03,3.8925421e-03,36321,2015.71797,1765.83154,3.3472427e+03,2.2248034e+00,1.3913583e+03,7.5708878e-01,3.1250298e+03,2.9804604e+00,0,,,,,2015.71797,3.8783724e-04,1765.83154,3.8556551e-04,-2.5834719e-02,-6.1217174e-02
1984.181275849036,2.0132074e+00,1.9499466e-03,3.8927163e-03,36322,2015.71681,1765.83115,3.3505369e+03,2.2285988e+00,1.4075958e+03,7.5972682e-01,3.0824028e+03,2.9855449e+00,0,,,,,2015.71681,3.8801227e-04,1765.83115,3.8564630e-04,-2.1169953e-02,-6.1861299e-02
1984.2021093475078,1.9555956e+00,1.9446801e-03,3.8928909e-03,36323,2015.71599,1765.83129,3.2889917e+03,2.2225795e+00,1.4201611e+03,7.6302826e-01,2.9941941e+03,2.9774814e+00,0,,,,,2015.71599,3.9548948e-04,1765.83129,3.9213619e-04,-2.2809943e-02,-6.0903896e-02
1984.2229428464461,1.9947857e+00,1.9519783e-03,3.8930660e-03,36324,2015.71628,1765.83270,3.3292783e+03,2.2309208e+00,1.4288536e+03,7.6408970e-01,3.0541975e+03,2.9886556e+00,0,,,,,2015.71628,3.9154830e-04,1765.83270,3.8891705e-04,-2.9632764e-02,-6.0542010e-02
1984.243776345851,2.0086451e+00,1.9582459e-03,3.8932415e-03,36325,2015.71664,1765.83199,3.3727153e+03,2.2380841e+00,1.4324189e+03,7.6468205e-01,3.0754175e+03,2.9982517e+00,0,,,,,2015.71664,3.8745761e-04,1765.83199,3.8468817e-04,-2.8242961e-02,-6.0477514e-02
1984.2646098457205,2.1162357e+00,1.9813622e-03,3.8934175e-03,36326,2015.71934,1765.83341,3.5139092e+03,2.2645037e+00,1.4342080e+03,7.6522624e-01,3.2401484e+03,3.0336449e+00,0,,,,,2015.71934,3.7500059e-04,1765.83341,3.7335692e-04,-2.3357050e-02,-5.9303604e-02
1984.2854433460557,1.9743469e+00,1.9545192e-03,3.8935940e-03,36327,2015.71550,1765.83160,3.3415393e+03,2.2338247e+00,1.4300638e+03,7.6507646e-01,3.0229038e+03,2.9925458e+00,0,,,,,2015.71550,3.9073161e-04,1765.83160,3.8785292e-04,-2.6255347e-02,-6.1697617e-02
1984.3062768468567,1.8700085e+00,1.9390702e-03,3.8937710e-03,36328,2015.71464,1765.83106,3.2519336e+03,2.2161679e+00,1.4232986e+03,7.6351780e-01,2.8631523e+03,2.9688921e+00,0,,,,,2015.71464,3.9841110e-04,1765.83106,3.9627633e-04,-2.6980788e-02,-5.9508376e-02
1984.3271103478905,1.8411783e+00,1.9315325e-03,3.8939482e-03,36329,2015.71465,1765.82944,3.2172019e+03,2.2075534e+00,1.4161664e+03,7.5940979e-01,2.8190107e+03,2.9573512e+00,0,,,,,2015.71465,4.0108006e-04,1765.82944,3.9978669e-04,-2.7006341e-02,-6.3423343e-02
1984.34794384939,1.7564435e+00,1.9231003e-03,3.8941258e-03,36330,2015.71329,1765.83069,3.1596304e+03,2.1979160e+00,1.4097965e+03,7.6105541e-01,2.6892742e+03,2.9444408e+00,0,,,,,2015.71329,4.0700487e-04,1765.83069,4.0498661e-04,-2.6439223e-02,-5.9899718e-02
1984.3687773513552,1.7677035e+00,1.9280604e-03,3.8943039e-03,36331,2015.71415,1765.83099,3.1948259e+03,2.2035851e+00,1.4099143e+03,7.6140618e-01,2.7065142e+03,2.9520352e+00,0,,,,,2015.71415,4.0320316e-04,1765.83099,4.0112395e-04,-2.5476653e-02,-6.0752679e-02
1984.3896108535541,1.7704533e+00,1.9307698e-03,3.8944823e-03,36332,2015.71373,1765.82975,3.2154458e+03,2.2066815e+00,1.4120979e+03,7.6075965e-01,2.7107244e+03,2.9561834e+00,0,,,,,2015.71373,4.0128009e-04,1765.82975,3.9892961e-04,-2.3622025e-02,-6.0797557e-02
1984.4104443562169,1.7331572e+00,1.9273625e-03,3.8946611e-03,36333,2015.71377,1765.83061,3.1809092e+03,2.2027874e+00,1.4201483e+03,7.6109737e-01,2.6536206e+03,2.9509666e+00,0,,,,,2015.71377,4.0527122e-04,1765.83061,4.0287906e-04,-3.0716926e-02,-6.0942188e-02
1984.431277859113,1.7744559e+00,1.9334721e-03,3.8948401e-03,36334,2015.71178,1765.82972,3.2005239e+03,2.2097700e+00,1.4297781e+03,7.6388562e-01,2.7168528e+03,2.9603209e+00,0,,,,,2015.71178,4.0492543e-04,1765.82972,4.0142308e-04,-3.0714221e-02,-5.8766931e-02
1984.4521113624755,1.6850812e+00,1.9222565e-03,3.8950196e-03,36335,2015.71061,1765.83014,3.1123384e+03,2.1969516e+00,1.4429507e+03,7.6561213e-01,2.5800120e+03,2.9431489e+00,0,,,,,2015.71061,4.1492531e-04,1765.83014,4.1082886e-04,-3.5349481e-02,-5.9105974e-02
1984.4729448660714,1.6469420e+00,1.9204817e-03,3.8951994e-03,36336,2015.70805,1765.82997,3.0776516e+03,2.1949232e+00,1.4590664e+03,7.6699513e-01,2.5216174e+03,2.9404314e+00,0,,,,,2015.70805,4.1945820e-04,1765.82997,4.1573544e-04,-3.5326827e-02,-5.8613732e-02
1984.493778370132,1.6383332e+00,1.9297159e-03,3.8953796e-03,36337,2015.71116,1765.83054,3.1132400e+03,2.2054770e+00,1.4775184e+03,7.7021205e-01,2.5084365e+03,2.9545698e+00,0,,,,,2015.71116,4.1545765e-04,1765.83054,4.1300996e-04,-3.0804181e-02,-6.0165901e-02
1984.5146118744246,1.5781611e+00,1.9255314e-03,3.8955600e-03,36338,2015.71130,1765.82910,3.0502891e+03,2.2006946e+00,1.5008094e+03,7.7537614e-01,2.4163076e+03,2.9481630e+00,0,,,,,2015.71130,4.2324082e-04,1765.82910,4.2163409e-04,-2.8593043e-02,-6.1372913e-02
1984.535445378951,1.6202698e+00,1.9335278e-03,3.8957407e-03,36339,2015.71105,1765.82788,3.0729048e+03,2.2098336e+00,1.5303302e+03,7.7994913e-01,2.4807798e+03,2.9604061e+00,0,,,,,2015.71105,4.2204495e-04,1765.82788,4.2057669e-04,-2.6454723e-02,-6.1506223e-02
1984.5562788839434,1.6090537e+00,1.9430924e-03,3.8959219e-03,36340,2015.71051,1765.82894,3.0948621e+03,2.2207651e+00,1.5607574e+03,7.8253835e-01,2.4636069e+03,2.9750504e+00,0,,,,,2015.71051,4.2147690e-04,1765.82894,4.1932202e-04,-3.0587675e-02,-6.3216686e-02
1984.5771123891682,1.6046487e+00,1.9550149e-03,3.8961032e-03,36341,2015.71195,1765.82960,3.1229248e+03,2.2343915e+00,1.5944248e+03,7.8679436e-01,2.4568625e+03,2.9933047e+00,0,,,,,2015.71195,4.1994610e-04,1765.82960,4.1826340e-04,-2.6213055e-02,-5.8898300e-02
1984.5979458946254,1.5608420e+00,1.9546992e-03,3.8962848e-03,36342,2015.71012,1765.82816,3.0779248e+03,2.2340305e+00,1.6330969e+03,7.8959000e-01,2.3897905e+03,2.9928215e+00,0,,,,,2015.71012,4.2819651e-04,1765.82816,4.2436601e-04,-2.8722171e-02,-5.8055289e-02
1984.6187794005486,1.6011951e+00,1.9681843e-03,3.8964669e-03,36343,2015.71073,1765.82968,3.1139836e+03,2.2494426e+00,1.6724385e+03,8.0041158e-01,2.4515747e+03,3.0134683e+00,0,,,,,2015.71073,4.2511217e-04,1765.82968,4.2212152e-04,-3.3226039e-02,-5.9754897e-02
1984.6396129064724,1.6137892e+00,1.9794952e-03,3.8966490e-03,36344,2015.71054,1765.83034,3.1482334e+03,2.2623699e+00,1.7140315e+03,8.0392653e-01,2.4708574e+03,3.0307863e+00,0,,,,,2015.71054,4.2269833e-04,1765.83034,4.2006283e-04,-3.2254793e-02,-5.8758773e-02
1984.6604464128613,1.6009022e+00,1.9872135e-03,3.8968315e-03,36345,2015.71042,1765.83015,3.1440796e+03,2.2711914e+00,1.7537228e+03,8.1150866e-01,2.4511262e+03,3.0426040e+00,0,,,,,2015.71042,4.2519360e-04,1765.83015,4.2246582e-04,-3.3078462e-02,-5.8096733e-02
1984.6812799194831,1.5761204e+00,1.9922915e-03,3.8970143e-03,36346,2015.71087,1765.83042,3.1305984e+03,2.2769949e+00,1.7916343e+03,8.1645471e-01,2.4131831e+03,3.0503788e+00,0,,,,,2015.71087,4.2816260e-04,1765.83042,4.2570452e-04,-2.8216911e-02,-5.8310706e-02
1984.7021134263377,1.5559740e+00,1.9955060e-03,3.8971973e-03,36347,2015.71067,1765.83029,3.1068062e+03,2.2806687e+00,1.8170031e+03,8.1959033e-01,2.3823372e+03,3.0553005e+00,0,,,,,2015.71067,4.3359620e-04,1765.83029,4.2994358e-04,-3.0343648e-02,-5.7138938e-02
1984.7229469334247,1.5073866e+00,1.9907451e-03,3.8973805e-03,36348,2015.70868,1765.82733,3.0409053e+03,2.2752273e+00,1.8470916e+03,8.2283860e-01,2.3079453e+03,3.0480111e+00,0,,,,,2015.70868,4.4233730e-04,1765.82733,4.3941187e-04,-2.8454075e-02,-6.1407961e-02
1984.743780440745,1.4649441e+00,1.9907895e-03,3.8975640e-03,36349,2015.70916,1765.82870,3.0117922e+03,2.2752781e+00,1.8761455e+03,8.2728130e-01,2.2429622e+03,3.0480790e+00,0,,,,,2015.70916,4.4617589e-04,1765.82870,4.4393583e-04,-2.5147414e-02,-5.9699692e-02
1984.7646139482986,1.4370084e+00,1.9933868e-03,3.8977477e-03,36350,2015.70829,1765.82912,2.9948167e+03,2.2782469e+00,1.9067590e+03,8.2894915e-01,2.2001899e+03,3.0520558e+00,0,,,,,2015.70829,4.4967496e-04,1765.82912,4.4725995e-04,-2.6060212e-02,-5.6877632e-02
