JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458849.67,12.9,,,Vis.,BFO,,0,,999999,,,,Z,,,,AH HER,MCSE,STD,,,,
2458859.743,11.753,0.04,,V,GCO,,ENSEMBLE,000-BBX-901,7193NH,ACTIVE - EXP.TIME= 3X120SEC.-STACK METHOD: AVERAGE-'ACP->LX200GPS/R'-'SBIG ST-7 DUAL CCD CAMERA',0,1.318,Z,,12.684,,AH HER,AAVSO,STD,0,,,
2458868.72,13.236,0.042,,V,GCO,,ENSEMBLE,000-BBX-901,7193NH,EXP.TIME= 3X120SEC.-STACK METHOD: AVERAGE-'ACP->LX200GPS/R'-'SBIG ST-7 DUAL CCD CAMERA',0,1.309,Z,,12.679,,AH HER,AAVSO,STD,0,,,
2458871.71,14.055,0.029,,V,GCO,,ENSEMBLE,000-BBX-901,X25099AJL,EXP.TIME= 3X120SEC.-STACK METHOD: AVERAGE-'ACP->LX200GPS/R'-'SBIG ST-7 DUAL CCD CAMERA',0,1.319,Z,,12.675,,AH HER,AAVSO,STD,0,,,
2458874.755,14,,,Vis.,DPV,,14,14.2,2395DNI,,,,Z,,,,AH HER,,STD,,,,
2458878.691,14.113,0.029,,V,GCO,,ENSEMBLE,000-BBX-901,X25099AJL,EXP.TIME= 3X120SEC.-STACK METHOD: AVERAGE-'ACP->LX200GPS/R'-'SBIG ST-7 DUAL CCD CAMERA',0,1.319,Z,,12.666,,AH HER,AAVSO,STD,0,,,
2458879.77,13.93,,,Vis.,DPV,,13.4,14.2,2395DNI,,,,Z,,,,AH HER,,STD,,,,
2458881.769,13.17,,,Vis.,DPV,,12.7,13.4,2395DNI,,,,Z,,,,AH HER,,STD,,,,
2458885.6,12.1,,,Vis.,BFO,,0,,999999,,,,Z,,,,AH HER,MCSE,STD,,,,
2458885.672,11.99,0.029,,V,GCO,,ENSEMBLE,000-BBX-901,X25099AJL,ACTIVE - EXP.TIME= 3X120SEC.-STACK METHOD: AVERAGE-'ACP->LX200GPS/R'-'SBIG ST-7 DUAL CCD CAMERA',0,1.319,Z,,12.669,,AH HER,AAVSO,STD,0,,,
2458887.036,12.028,0.07,,B,FJQ,,000-BBX-901,000-BBX-909,X27169QR,|VMAGINS=13.554|VERR=0.020|CREFMAG=13.216|CREFERR=0.014|KREFMAG=14.748|KREFERR=0.025|VX=1.2318|CX=1.2311|KX=1.2315|TB_BV=0.4920|TB_BVERR=0.0780|TAVER=2.51,1,1.224,Z,14.416,15.822,,AH HER,AAVSO,STD,101,,,
