JD,Magnitude,Band
7.035999999847263,12.028,B
7.037000000011176,12.066,B
7.037000000011176,12.109,B
7.038000000175089,11.99,B
8.038000000175089,11.947,B
8.038000000175089,11.929,B
8.03899999987334,11.946,B
8.040000000037253,11.977,B
11.041999999899417,13.228,B
11.04300000006333,13.292,B
11.04300000006333,12.538,B
11.044000000227243,12.593,B
12.024999999906868,12.969,B
12.02600000007078,13.044,B
12.02600000007078,13.074,B
12.026999999769032,12.907,B
14.018999999854714,14.692,B
14.018999999854714,14.411,B
14.020000000018626,14.415,B
14.02100000018254,14.405,B
15.035999999847263,15.02,B
15.037000000011176,15.011,B
15.038000000175089,14.898,B
15.038000000175089,14.996,B
16.03800000017509,15.558,B
16.03800000017509,14.944,B
16.03899999987334,14.79,B
16.040000000037253,14.846,B
17.040000000037253,14.348,B
17.041000000201166,14.618,B
17.041999999899417,14.595,B
17.04300000006333,14.892,B
20.023000000044703,14.285,B
20.024000000208616,14.342,B
20.024999999906868,14.276,B
20.024999999906868,13.727,B
21.89600000018254,14.066,B
23.996999999973923,11.086,B
23.996999999973923,11.033,B
23.998000000137836,11.706,B
23.998999999836087,10.782,B
25.01699999999255,11.219,B
25.01699999999255,11.111,B
25.018000000156462,11.314,B
25.018999999854714,11.118,B
25.96499999985099,10.14,B
25.9660000000149,11.261,B
25.967000000178814,11.174,B
25.967999999877065,11.262,B
27.00900000007823,10.745,B
27.00900000007823,10.789,B
27.009999999776483,11.001,B
27.010999999940395,10.936,B
32.01599999982864,10.908,B
32.01699999999255,10.917,B
32.01699999999255,10.859,B
32.01800000015646,11.385,B
33.01200000010431,11.82,B
33.01299999980256,11.84,B
33.01299999980256,11.822,B
33.01399999996647,11.827,B
34.98199999984354,13.073,B
34.98199999984354,13.207,B
34.98300000000745,13.141,B
34.98400000017136,13.126,B
46.924000000115484,16.52,B
46.924000000115484,16.143,B
46.924999999813735,16.383,B
46.92599999997765,16.552,B
50.99099999992177,13.293,B
50.99099999992177,13.273,B
50.99200000008568,13.022,B
50.99299999978393,13.065,B
73.90599999995902,12.912,B
73.90700000012293,12.922,B
73.90799999982119,12.879,B
73.90799999982119,12.434,B
74.88299999991432,11.062,B
74.88299999991432,11.014,B
74.88400000007823,11.094,B
74.88499999977648,11.117,B
75.88499999977648,8.956,B
75.8859999999404,9.133,B
75.88700000010431,9.203,B
75.88700000010431,9.088,B
81.86700000008568,10.114,B
81.86799999978393,11.723,B
81.86899999994785,11.687,B
