JD,m_B,m_V
2447723.758,19.58,18.67
2447727.485,19.8,19.03
2455225.95,9.607,9.45
2455225.959,9.51,9.437
2455227.737,10.01,10.28
2455235.925,13.86,13.81
2455237.71,14.02,13.97
2455239.707,14.19,14.18
2455240.949,14.459,14.272
2455240.954,14.537,14.366
2455240.959,14.464,14.289
2455240.963,14.619,14.185
2455240.968,14.576,14.268
2455241.699,14.26,14.28
2455241.948,14.517,14.29
2455241.953,14.584,14.174
2455241.957,14.552,14.089
2455241.962,14.538,14.236
2455245.935,14.659,14.75
2455245.938,14.676,14.56
2455245.941,14.676,14.58
2455245.945,14.694,14.59
2455245.948,14.716,14.57
2455246.932,14.568,14.29
2455246.936,14.535,14.201
2455246.939,14.553,14.214
2455246.942,14.559,14.221
2455246.945,14.57,14.208
2455247.929,14.86,14.544
2455247.933,14.845,14.447
2455247.936,14.843,14.474
2455247.94,14.862,14.493
2455247.943,14.893,14.485
2455251.919,14.742,14.557
2455251.923,14.922,14.545
2455251.926,14.879,14.604
2455251.929,14.912,14.535
2455251.933,14.921,14.506
2455253.914,15.074,14.92
2455253.918,15.104,14.87
2455253.921,15.009,14.701
2455253.924,14.902,14.9
2455253.928,15.084,14.849
2455282.123,17.14,16.91
2458906.923,18.803,17.776
2458906.936,18.887,18.369
2458955.79,18.669,18.082
2458955.802,18.723,18.2
2458959.809,18.923,18.303
2458963.911,18.8,18.259
2458963.924,18.765,18.233
2458964.788,19.402,18.701
2458964.8,19.675,19
2458988.717,18.433,18.082
2458988.73,18.444,17.953
2459726.68,19.13,18.403
2459726.688,19.212,18.422
2459737.4,8.67,8.657
2459737.428,8.505,8.688
2459737.43,8.52,8.709
2459737.435,8.495,8.35
2459737.438,8.473,8.12
2459737.592,8.053,7.793
2459737.593,7.995,7.795
2459737.594,8.026,7.794
2459737.598,8.038,7.816
2459737.599,8.104,7.769
2459738.564,9.48,9.222
2459738.568,9.471,9.211
2459738.572,9.492,9.19
2459738.577,9.469,9.234
2459738.581,9.484,9.23
2459739.561,9.924,9.9
2459739.565,9.946,9.886
2459739.57,9.964,9.87
2459739.574,9.988,9.971
2459739.578,9.996,9.982
2459740.559,10.154,10.21
2459740.563,10.116,10.195
2459740.567,10.185,10.201
2459740.572,10.164,10.207
2459740.576,10.181,10.197
2459741.557,10.716,10.725
2459741.561,10.748,10.732
2459741.566,10.737,10.727
2459741.57,10.781,10.739
2459741.574,10.76,10.744
2459742.538,11.311,11.359
2459742.538,11.338,11.344
2459742.539,11.324,11.343
2459742.54,11.281,11.33
2459742.541,11.308,11.301
2459743.551,11.55,11.596
2459743.552,11.557,11.628
2459743.552,11.559,11.611
2459743.553,11.538,11.608
2459743.553,11.489,11.632
2459744.509,12.084,12.569
2459744.511,12.032,12.427
2459744.548,12.172,12.473
2459744.549,12.144,12.445
2459744.55,12.184,12.449
2459745.5,12.649,12.753
2459745.501,12.644,12.964
2459745.502,12.646,12.748
2459745.503,12.669,12.949
2459745.503,12.67,12.786
2459746.543,12.909,13.486
2459746.544,12.908,13.443
2459746.544,12.923,13.518
2459746.545,12.872,13.381
2459746.546,12.928,13.427
2459747.543,13.247,13.486
2459747.544,13.215,13.443
2459747.545,13.201,13.518
2459747.547,13.229,13.381
2459747.548,13.197,13.427
2459748.54,13.535,13.427
2459748.541,13.536,13.501
2459748.543,13.543,13.454
2459748.544,13.556,13.512
2459748.545,13.544,13.489
2459749.537,13.664,13.773
2459749.539,13.685,13.748
2459749.541,13.68,13.591
2459749.543,13.678,13.578
2459749.545,13.648,13.71
2459750.535,13.987,13.96
2459750.536,14.009,13.885
2459750.538,14.024,13.916
2459750.54,14.001,13.924
2459750.542,14.033,13.933
2459751.527,13.804,13.696
2459751.529,13.79,13.666
2459751.531,13.822,13.699
2459751.533,13.801,13.704
2459751.535,13.813,13.669
2459752.531,14.213,14.094
2459752.533,14.189,14.082
2459752.535,14.142,14.057
2459752.537,14.145,14.06
2459752.539,14.175,14.058
2459753.521,14.398,14.262
2459753.523,14.376,14.228
2459753.525,14.4,14.31
2459753.527,14.442,14.266
2459753.529,14.452,14.278
2459754.521,14.199,14.06
2459754.523,14.165,14.054
2459754.525,14.222,14.073
2459754.527,14.229,14.064
2459754.529,14.221,14.082
2459755.58,14.253,14.234
2459755.582,14.371,14.143
2459755.584,14.44,14.121
2459755.586,14.364,14.133
2459755.588,14.299,14.198
2459756.643,14.385,14.147
2459756.646,14.429,14.136
2459756.65,14.453,14.219
2459756.996,14.356,14.208
2459758.018,14.147,14.212
2459758.27,14.51,14.021
2459758.785,14.303,14.554
2459758.787,14.33,14.561
2459758.789,14.347,14.589
2459758.791,14.367,14.545
2459758.793,14.263,14.568
2459759.525,14.642,14.359
2459759.527,14.649,14.383
2459759.529,14.617,14.358
2459759.531,14.655,14.358
2459759.533,14.654,14.392
2459760.527,14.58,14.308
2459760.53,14.562,14.276
2459760.533,14.551,14.296
2459760.536,14.541,14.297
2459760.539,14.524,14.292
2459761.519,14.661,14.452
2459761.522,14.692,14.41
2459761.525,14.717,14.428
2459761.528,14.654,14.439
2459761.531,14.636,14.415
2459762.519,14.596,14.395
2459762.522,14.598,14.38
2459762.525,14.585,14.389
2459762.528,14.614,14.43
2459762.531,14.59,14.413
2459763.519,15.151,14.932
2459763.522,15.128,14.934
2459763.525,15.127,14.904
2459763.528,15.082,14.884
2459763.531,15.031,14.903
2459764.52,14.977,14.836
2459764.523,15.054,14.837
2459764.526,15.15,14.893
2459764.529,15.031,14.855
2459764.532,15.071,14.843
2459765.514,15.079,14.915
2459765.517,15.128,14.915
2459765.52,15.017,14.834
2459765.523,15.093,14.84
2459765.526,14.896,14.903
2459767.646,15.383,14.989
2459768.585,15.385,15.144
2459768.599,15.378,15.135
2459768.61,15.484,15.131
2459768.616,15.593,15.318
2459768.624,15.406,15.228
2459771.526,14.794,14.628
2459771.553,16.047,16.458
2459771.562,16.602,14.766
2459771.6,15.583,15.686
2459771.604,15.345,15.618
2459773.729,16.353,16.222
2459773.731,17.23,16.185
2459773.734,16.842,16.413
2459773.736,16.832,16.3
2459773.738,16.388,16.362
2459774.691,16.308,16.934
2459774.694,16.252,16.664
2459774.698,16.368,16.118
2459774.701,16.447,16.303
2459774.704,16.544,16.267
2459775.524,16.591,16.376
2459775.527,16.786,16.708
2459775.53,16.852,16.559
2459775.534,17.169,16.854
2459775.538,17.245,16.516
2459776.523,16.662,16.356
2459776.527,16.838,16.171
2459776.53,16.468,16.355
2459776.534,16.538,16.266
2459776.538,16.481,16.334
2459777.512,16.44,16.304
2459777.517,16.468,16.31
2459777.521,16.613,16.285
2459777.526,16.493,16.293
2459777.53,16.533,16.411
2459778.512,16.948,16.816
2459778.517,17.316,16.81
2459778.521,17.175,16.739
2459778.526,17.196,16.785
2459778.531,17.429,16.887
2459779.513,17.589,17.315
2459779.517,17.862,17.089
2459779.522,17.59,17.204
2459779.526,17.282,17.307
2459779.531,17.445,16.955
2459783.595,17.269,17.19
2459783.611,17.425,16.861
2460148.91,18.314,17.974
2460162.701,18.048,17.782
2460163.703,18.127,17.772
2460165.688,18.318,17.851
