JD,Magnitude
2452374.54073076,14.612
2452374.54145076,14.535
2452374.54218076,14.595
2452374.54289076,14.481
2452374.54361076,14.627
2452374.54433076,14.536
2452374.54504076,14.44
2452374.54575076,14.521
2452374.54648076,14.503
2452374.54721076,14.674
2452374.54781076,14.577
2452374.54843076,14.471
2452374.54903076,14.55
2452374.54963076,14.743
2452374.55023076,14.682
2452374.55085076,14.746
2452374.55145076,14.68
2452374.55205076,14.755
2452374.55265076,14.787
2452374.55327076,14.754
2452374.55387076,14.91
2452374.55448076,14.989
2452374.55568076,15.105
2452374.55630076,15.267
2452374.55690076,15.227
2452374.55750076,15.149
2452374.55811076,15.144
2452374.55932076,14.97
2452374.55992076,14.774
2452374.56053076,14.911
2452374.56114076,14.83
2452374.56174076,14.823
2452374.56234076,14.689
2452374.56295076,14.717
2452374.56355076,14.691
2452374.56416076,14.5
2452374.56477076,14.604
2452374.56537076,14.464
2452374.56597076,14.459
2452374.56658076,14.539
2452374.56719076,14.665
2452374.56779076,14.608
2452374.56839076,14.625
2452374.56899076,14.41
2452374.56961076,14.34
2452374.57021076,14.468
2452374.57081076,14.43
2452374.57143076,14.478
2452374.57203076,14.565
2452374.57263076,14.447
2452374.57324076,14.68
2452374.57384076,14.619
2452374.57445076,14.491
2452374.57505076,14.494
2452374.57566076,14.586
2452374.57626076,14.478
2452374.57686076,14.691
2452374.57748076,14.61
2452374.57808076,14.639
2452374.57868076,14.705
2452374.57928076,14.493
2452374.57990076,14.563
2452374.58050076,14.617
2452374.58110076,14.628
2452374.58170076,14.609
2452374.58292076,14.628
2452374.58352076,14.678
2452374.58474076,14.741
2452374.58534076,14.652
2452374.58594076,14.607
2452374.58655076,14.703
2452374.58715076,14.619
2452374.58896076,14.588
2452374.58957076,14.6
2452374.59018076,14.621
2452374.59078076,14.556
2452374.59139076,14.607
2452374.59199076,14.676
2452374.59259076,14.503
2452374.59320076,14.508
2452374.59380076,14.581
2452374.59441076,14.595
2452374.59501076,14.374
2452374.59561076,14.569
2452374.59623076,14.44
2452374.59683076,14.511
2452374.59743076,14.361
2452374.59803076,14.532
2452374.59865076,14.473
2452374.59925076,14.527
2452374.59985076,14.466
2452374.60045076,14.38
2452374.60166076,14.401
2452374.60226076,14.418
2452374.60287076,14.436
2452374.60347076,14.43
2452374.60409076,14.457
2452374.60469076,14.546
2452374.60529076,14.492
2452374.60590076,14.452
2452374.60651076,14.454
2452374.60711076,14.511
2452374.60771076,14.489
2452374.60831076,14.583
2452374.60893076,14.523
2452374.60953076,14.519
2452374.61074076,14.635
2452374.61257076,14.595
2452374.61317076,14.743
2452374.61377076,14.589
2452374.61438076,14.632
2452374.61498076,14.507
2452374.61559076,14.566
2452374.61619076,14.62
2452374.61680076,14.528
2452374.61740076,14.582
2452374.61801076,14.648
2452374.61861076,14.472
2452374.61921076,14.762
2452374.61983076,14.773
2452374.62043076,14.535
2452374.62103076,14.6
2452374.62163076,14.713
2452374.62284076,14.461
2452374.62344076,14.633
2452374.62404076,14.645
2452374.62465076,14.509
2452374.62526076,14.475
2452374.62586076,14.481
2452374.62707076,14.571
2452374.62829076,14.48
2452374.62889076,14.662
2452374.62949076,14.709
2452374.63009076,14.535
2452374.63070076,14.641
2452374.63130076,14.486
2452374.63190076,14.639
2452375.41000076,14.497
2452375.41061076,14.512
2452375.41122076,14.709
2452375.41181076,14.732
2452375.41241076,14.72
2452375.41301076,14.75
2452375.41361076,15.01
2452375.41421076,14.889
2452375.41480076,15.025
