JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451758.385,<13.7,,,Vis.,RMQ,,,,,,,,V,,,,IY UMA,,STD,,,,
2451805.6,<13.5,,,Vis.,KTO,,,,,EP 18.10,,,V,,,,IY UMA,,STD,,,,
2451806.32,<14.0,,,Vis.,KTO,,,,,EP 18.82,,,V,,,,IY UMA,,STD,,,,
2451807.32,<14.0,,,Vis.,KTO,,,,,EP 19.82,,,V,,,,IY UMA,,STD,,,,
2451808.32,<14.0,,,Vis.,KTO,,,,,EP 20.82,,,V,,,,IY UMA,,STD,,,,
2451809.6,<14.5,,,Vis.,KTO,,,,,EP 22.10,,,V,,,,IY UMA,,STD,,,,
2451811.59,<14.5,,,Vis.,KTO,,,,,EP 24.09,,,V,,,,IY UMA,,STD,,,,
2451812.6,<14.5,,,Vis.,KTO,,,,,EP 25.10,,,V,,,,IY UMA,,STD,,,,
2451816.589,13.0,,,Vis.,KTO,,,,,EP 29.089,,,V,,,,IY UMA,,STD,,,,
2451816.594,13.0,,,Vis.,KTO,,,,,EP 29.094,,,V,,,,IY UMA,,STD,,,,
2451816.6,13.8,,,Vis.,KTO,,,,,EP 29.100,,,V,,,,IY UMA,,STD,,,,
2451816.602,14.0,,,Vis.,KTO,,,,,EP 29.102,,,V,,,,IY UMA,,STD,,,,
2451816.604,14.3,,,Vis.,KTO,,,,,EP 29.104,,,V,,,,IY UMA,,STD,,,,
2451816.606,14.3,,,Vis.,KTO,,,,,EP 29.106,,,V,,,,IY UMA,,STD,,,,
2451816.61,14.2,,,Vis.,KTO,,,,,EP 29.110,,,V,,,,IY UMA,,STD,,,,
2451816.612,14.0,,,Vis.,KTO,,,,,EP 29.112,,,V,,,,IY UMA,,STD,,,,
2451816.616,13.7,,,Vis.,KTO,,,,,EP 29.116,,,V,,,,IY UMA,,STD,,,,
2451816.618,13.7,,,Vis.,KTO,,,,,EP 29.118,,,V,,,,IY UMA,,STD,,,,
2451816.621,14.2,,,Vis.,KTO,,,,,EP 29.121,,,V,,,,IY UMA,,STD,,,,
2451816.624,14.1,,,Vis.,KTO,,,,,EP 29.124,,,V,,,,IY UMA,,STD,,,,
