JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451728.9326,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2451729.8896,<15.1,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2451748.8826,<14.8,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2451753.8917,<14.8,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2451758.9076,<14.8,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2451760.8951,<14.8,,,Vis.,SRX,KW,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2451761.9,<14.8,,,Vis.,SRX,KWZ,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2451773.8903,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2451938.1972,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2451941.2333,<15.0,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2451943.2285,<15.0,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2451943.3243,<15.2,,,Vis.,PEX,,,,,,,,V,,,,OU VIR,,STD,,,,
2451958.2229,<14.7,,,Vis.,SRX,KW,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2451966.1076,<14.9,,,Vis.,SRX,K,NA,,NA,,,,Z,,,,OU VIR,,STD,,,,
2451971.1903,<14.8,,,Vis.,SRX,K,NA,,NA,,,,V,,,,OU VIR,,STD,,,,
2451972.3056,<15.2,,,Vis.,PEX,,,,,,,,V,,,,OU VIR,,STD,,,,
