E,C,O,O-C
-2512,1652.274092119804,,
-2511,1652.6315896413307,,
-2510,1652.9890871628577,,
-2509,1653.3465846843842,,
-2508,1653.7040822059112,,
-2507,1654.0615797274377,,
-2506,1654.4190772489646,,
-2505,1654.7765747704914,,
-2504,1655.1340722920181,,
-2503,1655.4915698135449,,
-2502,1655.8490673350716,,
-2501,1656.2065648565986,,
-2500,1656.564062378125,,
-2499,1656.921559899652,,
-2498,1657.2790574211788,,
-2497,1657.6365549427055,,
-2496,1657.9940524642323,,
-2495,1658.351549985759,,
-2494,1658.709047507286,,
-2493,1659.0665450288125,,
-2492,1659.4240425503394,,
-2491,1659.7815400718662,,
-2490,1660.139037593393,,
-2489,1660.4965351149197,,
-2488,1660.8540326364464,,
-2487,1661.2115301579734,,
-2486,1661.5690276794999,,
-2485,1661.9265252010268,,
-2484,1662.2840227225536,,
-2483,1662.6415202440803,,
-2482,1662.999017765607,,
-2481,1663.3565152871338,,
-2480,1663.7140128086608,,
-2479,1664.0715103301873,,
-2478,1664.4290078517142,,
-2477,1664.786505373241,,
-2476,1665.1440028947677,,
-2475,1665.5015004162944,,
-2474,1665.8589979378212,,
-2473,1666.2164954593482,,
-2472,1666.5739929808747,,
-2471,1666.9314905024016,,
-2470,1667.2889880239281,,
-2469,1667.646485545455,,
-2468,1668.0039830669818,,
-2467,1668.3614805885086,,
-2466,1668.7189781100356,,
-2465,1669.076475631562,,
-2464,1669.433973153089,,
-2463,1669.7914706746155,,
-2462,1670.1489681961425,,
-2461,1670.5064657176692,,
-2460,1670.863963239196,,
-2459,1671.2214607607227,,
-2458,1671.5789582822495,,
-2457,1671.9364558037764,,
-2456,1672.293953325303,,
-2455,1672.65145084683,,
-2454,1673.0089483683566,,
-2453,1673.3664458898834,,
-2452,1673.7239434114101,,
-2451,1674.0814409329369,,
-2450,1674.4389384544638,,
-2449,1674.7964359759903,,
-2448,1675.1539334975173,,
-2447,1675.511431019044,,
-2446,1675.8689285405708,,
-2445,1676.2264260620975,,
-2444,1676.5839235836243,,
-2443,1676.9414211051512,,
-2442,1677.2989186266777,,
-2441,1677.6564161482047,,
-2440,1678.0139136697314,,
-2439,1678.3714111912582,,
-2438,1678.728908712785,,
