JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457650.32145,14.990,0.029,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,2.265,Z,-6.963,-6.308,,PX AND,AAVSO,STD,,,,
2457650.32208,15.062,0.031,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,2.252,Z,-6.949,-6.282,,PX AND,AAVSO,STD,,,,
2457650.32271,15.162,0.034,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,2.238,Z,-6.950,-6.278,,PX AND,AAVSO,STD,,,,
2457650.32335,15.117,0.033,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,2.225,Z,-6.959,-6.280,,PX AND,AAVSO,STD,,,,
2457650.33553,15.163,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,2.003,Z,-6.981,-6.310,,PX AND,AAVSO,STD,,,,
2457650.33616,15.036,0.038,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.993,Z,-7.002,-6.270,,PX AND,AAVSO,STD,,,,
2457650.33680,15.100,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.983,Z,-7.012,-6.326,,PX AND,AAVSO,STD,,,,
2457650.33744,15.067,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.973,Z,-6.977,-6.325,,PX AND,AAVSO,STD,,,,
2457650.33807,15.092,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.963,Z,-6.985,-6.312,,PX AND,AAVSO,STD,,,,
2457650.33870,15.166,0.044,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.953,Z,-6.989,-6.336,,PX AND,AAVSO,STD,,,,
2457650.33934,15.064,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.943,Z,-7.004,-6.361,,PX AND,AAVSO,STD,,,,
2457650.33997,15.121,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.934,Z,-7.005,-6.316,,PX AND,AAVSO,STD,,,,
2457650.34061,15.201,0.046,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.924,Z,-7.000,-6.336,,PX AND,AAVSO,STD,,,,
2457650.34125,15.164,0.045,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.915,Z,-7.008,-6.340,,PX AND,AAVSO,STD,,,,
2457650.34188,15.123,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.906,Z,-7.013,-6.314,,PX AND,AAVSO,STD,,,,
2457650.34252,15.165,0.044,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.897,Z,-7.017,-6.366,,PX AND,AAVSO,STD,,,,
2457650.34315,15.102,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.887,Z,-7.008,-6.335,,PX AND,AAVSO,STD,,,,
2457650.34379,15.124,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.879,Z,-7.010,-6.330,,PX AND,AAVSO,STD,,,,
2457650.34442,15.126,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.870,Z,-7.028,-6.350,,PX AND,AAVSO,STD,,,,
2457650.34506,15.069,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.861,Z,-7.017,-6.353,,PX AND,AAVSO,STD,,,,
2457650.34569,15.080,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.852,Z,-7.029,-6.332,,PX AND,AAVSO,STD,,,,
2457650.34633,14.978,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.844,Z,-7.011,-6.321,,PX AND,AAVSO,STD,,,,
2457650.34696,15.012,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.835,Z,-6.993,-6.292,,PX AND,AAVSO,STD,,,,
2457650.34760,15.048,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.827,Z,-7.008,-6.377,,PX AND,AAVSO,STD,,,,
2457650.34823,14.928,0.038,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.819,Z,-7.010,-6.312,,PX AND,AAVSO,STD,,,,
2457650.34886,14.966,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.810,Z,-7.011,-6.353,,PX AND,AAVSO,STD,,,,
2457650.34950,14.977,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.802,Z,-7.027,-6.371,,PX AND,AAVSO,STD,,,,
2457650.35013,15.040,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.794,Z,-7.034,-6.314,,PX AND,AAVSO,STD,,,,
2457650.35077,15.016,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.786,Z,-7.007,-6.343,,PX AND,AAVSO,STD,,,,
2457650.35140,14.969,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.778,Z,-6.988,-6.327,,PX AND,AAVSO,STD,,,,
2457650.35204,15.185,0.047,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.771,Z,-7.026,-6.384,,PX AND,AAVSO,STD,,,,
2457650.35267,15.058,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.763,Z,-7.011,-6.327,,PX AND,AAVSO,STD,,,,
2457650.35331,15.023,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.755,Z,-7.017,-6.290,,PX AND,AAVSO,STD,,,,
2457650.35394,15.133,0.045,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.748,Z,-7.025,-6.357,,PX AND,AAVSO,STD,,,,
2457650.35458,15.123,0.046,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.740,Z,-6.994,-6.338,,PX AND,AAVSO,STD,,,,
2457650.35522,14.964,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.733,Z,-7.013,-6.321,,PX AND,AAVSO,STD,,,,
2457650.35585,15.096,0.044,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.725,Z,-7.017,-6.397,,PX AND,AAVSO,STD,,,,
2457650.35648,14.987,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.718,Z,-7.019,-6.337,,PX AND,AAVSO,STD,,,,
2457650.35712,14.981,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.711,Z,-7.006,-6.312,,PX AND,AAVSO,STD,,,,
2457650.35775,15.014,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.704,Z,-7.031,-6.385,,PX AND,AAVSO,STD,,,,
2457650.35839,15.028,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.697,Z,-7.006,-6.355,,PX AND,AAVSO,STD,,,,
2457650.35903,15.016,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.690,Z,-7.035,-6.353,,PX AND,AAVSO,STD,,,,
2457650.35966,14.999,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.683,Z,-7.031,-6.306,,PX AND,AAVSO,STD,,,,
2457650.36030,14.989,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.676,Z,-7.029,-6.339,,PX AND,AAVSO,STD,,,,
2457650.36093,15.047,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.669,Z,-7.014,-6.315,,PX AND,AAVSO,STD,,,,
2457650.36157,15.047,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.663,Z,-7.040,-6.307,,PX AND,AAVSO,STD,,,,
2457650.36220,15.176,0.046,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.656,Z,-7.050,-6.327,,PX AND,AAVSO,STD,,,,
2457650.36284,15.126,0.045,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.650,Z,-7.035,-6.344,,PX AND,AAVSO,STD,,,,
2457650.36347,15.067,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.643,Z,-7.027,-6.388,,PX AND,AAVSO,STD,,,,
2457650.36411,15.073,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.637,Z,-7.041,-6.385,,PX AND,AAVSO,STD,,,,
2457650.36474,15.055,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.630,Z,-7.034,-6.374,,PX AND,AAVSO,STD,,,,
2457650.36538,15.021,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.624,Z,-7.022,-6.306,,PX AND,AAVSO,STD,,,,
2457650.36601,15.023,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.618,Z,-7.039,-6.360,,PX AND,AAVSO,STD,,,,
2457650.36665,15.032,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.612,Z,-7.013,-6.359,,PX AND,AAVSO,STD,,,,
2457650.36728,15.059,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.606,Z,-7.033,-6.351,,PX AND,AAVSO,STD,,,,
2457650.36792,15.113,0.045,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.600,Z,-7.038,-6.358,,PX AND,AAVSO,STD,,,,
2457650.36855,15.004,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.594,Z,-7.034,-6.382,,PX AND,AAVSO,STD,,,,
2457650.36919,15.047,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.588,Z,-7.044,-6.372,,PX AND,AAVSO,STD,,,,
2457650.36982,15.058,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.582,Z,-7.039,-6.390,,PX AND,AAVSO,STD,,,,
2457650.37046,15.062,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.576,Z,-7.042,-6.402,,PX AND,AAVSO,STD,,,,
2457650.37109,15.048,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.570,Z,-7.044,-6.393,,PX AND,AAVSO,STD,,,,
2457650.37173,15.039,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.564,Z,-7.030,-6.389,,PX AND,AAVSO,STD,,,,
2457650.37236,15.094,0.045,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.559,Z,-7.030,-6.377,,PX AND,AAVSO,STD,,,,
2457650.37300,15.078,0.044,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.553,Z,-7.036,-6.384,,PX AND,AAVSO,STD,,,,
2457650.37363,15.144,0.046,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.548,Z,-7.050,-6.349,,PX AND,AAVSO,STD,,,,
2457650.37427,15.086,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.542,Z,-7.070,-6.376,,PX AND,AAVSO,STD,,,,
2457650.37490,15.095,0.044,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.537,Z,-7.042,-6.362,,PX AND,AAVSO,STD,,,,
2457650.37553,15.069,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.531,Z,-7.037,-6.354,,PX AND,AAVSO,STD,,,,
2457650.37617,15.092,0.044,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.526,Z,-7.045,-6.392,,PX AND,AAVSO,STD,,,,
2457650.37680,15.065,0.043,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.521,Z,-7.035,-6.339,,PX AND,AAVSO,STD,,,,
2457650.37743,15.087,0.044,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.516,Z,-7.044,-6.356,,PX AND,AAVSO,STD,,,,
2457650.37807,15.048,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.510,Z,-7.044,-6.371,,PX AND,AAVSO,STD,,,,
2457650.37870,15.013,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.505,Z,-7.038,-6.375,,PX AND,AAVSO,STD,,,,
2457650.37934,15.002,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.500,Z,-7.047,-6.379,,PX AND,AAVSO,STD,,,,
2457650.37997,15.056,0.042,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.495,Z,-7.063,-6.381,,PX AND,AAVSO,STD,,,,
2457650.38061,15.028,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.490,Z,-7.059,-6.391,,PX AND,AAVSO,STD,,,,
2457650.38124,14.989,0.040,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.485,Z,-7.049,-6.379,,PX AND,AAVSO,STD,,,,
2457650.38188,15.046,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.480,Z,-7.068,-6.340,,PX AND,AAVSO,STD,,,,
2457650.38251,15.033,0.041,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.475,Z,-7.055,-6.379,,PX AND,AAVSO,STD,,,,
2457650.38315,14.920,0.038,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.471,Z,-7.056,-6.399,,PX AND,AAVSO,STD,,,,
2457650.38378,14.979,0.039,,CV,CDZ,,000-BBB-710,000-BBB-704,X15591BGC,(CV->CV),0,1.466,Z,-7.067,-6.351,,PX AND,AAVSO,STD,,,,
