JD,Magnitude
2451869.270200728,15.44
2451869.2783007277,15.56
2451869.2791007278,15.5
2451869.280000728,15.5
2451869.2808007277,15.53
2451869.281700728,15.45
2451869.282500728,15.48
2451869.283300728,15.54
2451869.284200728,15.53
2451869.285000728,15.53
2451869.285900728,15.52
2451869.286700728,15.56
2451869.2876007278,15.49
2451869.288400728,15.49
2451869.289200728,15.51
2451869.2901007277,15.54
2451869.2909007277,15.5
2451869.291800728,15.52
2451869.2926007276,15.49
2451869.293500728,15.64
2451869.294300728,15.57
2451869.295200728,15.53
2451869.296000728,15.62
2451869.296900728,15.63
2451869.297700728,15.72
2451869.2986007277,15.76
2451869.2994007277,15.7
2451869.300300728,15.73
2451869.3011007276,15.69
2451869.3019007277,15.74
2451869.302800728,15.62
2451869.303700728,15.58
2451869.304500728,15.65
2451869.305300728,15.65
2451869.306200728,15.65
2451869.307000728,15.67
2451869.3079007277,15.73
2451869.3087007278,15.68
2451869.309500728,15.75
2451869.3104007277,15.65
2451869.3112007277,15.64
2451869.3120007277,15.59
2451869.312900728,15.62
2451869.3137007277,15.62
2451869.3145007277,15.81
2451869.315400728,15.71
2451869.316200728,15.7
2451869.319600728,15.67
2451869.3205007277,15.74
2451869.321300728,15.73
2451869.3222007276,15.71
2451869.3230007277,15.69
2451869.323900728,15.69
2451869.324700728,15.67
2451869.325500728,15.61
2451869.326400728,15.62
2451869.327200728,15.68
2451869.328100728,15.74
2451869.328900728,15.72
2451869.329700728,15.77
2451869.330600728,15.7
2451869.331400728,15.64
2451869.332200728,15.55
2451869.3331007278,15.53
2451869.333900728,15.46
2451869.3348007277,15.57
2451869.3356007277,15.6
2451869.3364007277,15.7
2451869.337300728,15.61
2451869.3381007276,15.6
2451869.339000728,15.54
2451869.339900728,15.58
2451869.340700728,15.54
2451869.3416007278,15.61
2451869.342500728,15.58
2451869.3433007277,15.51
2451869.344200728,15.54
2451869.345000728,15.58
2451869.345900728,15.58
2451869.346700728,15.58
2451869.347600728,15.62
2451869.348400728,15.56
2451869.3493007277,15.61
2451869.3501007278,15.56
2451869.351000728,15.54
2451869.3518007277,15.55
2451869.352700728,15.53
2451869.353500728,15.51
