E,C,O,O-C
-4526,1683.4977715227365,1683.4961150957672,-0.0016564269692480593
-4525,1683.7077087283737,1683.706429542036,-0.0012791863377970003
-4524,1683.9176459340113,1683.9175200510556,-0.00012588295567184105
-4523,1684.1275831396486,1684.1274492974756,-0.0001338421729997208
-4522,1684.337520345286,1684.337627862494,0.0001075172078799369
-4521,1684.5474575509234,1684.5473107336088,-0.00014681731454402325
-4520,1684.7573947565606,1684.7574610823706,6.632580993937154e-05
-4519,1684.967331962198,1684.966458343928,-0.0008736182699067285
-4518,1685.1772691678352,1685.1763654951747,-0.0009036726605700096
-4517,1685.3872063734725,1685.3861933969029,-0.001012976569654711
-4516,1685.5971435791098,1685.5959514481585,-0.0011921309512672451
-4515,1685.8070807847473,1685.8060517619306,-0.001029022816737779
-4514,1686.0170179903846,1686.0159638403018,-0.0010541500828367134
-4513,1686.226955196022,1686.2258405216814,-0.0011146743404424342
-4512,1686.4368924016594,1686.4356409765626,-0.0012514250968251872
-4511,1686.6468296072967,1686.6450349665902,-0.0017946407065210224
-4510,1686.856766812934,1686.8545746713314,-0.0021921416025634244
-4509,1687.0667040185713,1687.0644865486113,-0.002217469959987284
-4508,1687.2766412242086,1687.2745518893048,-0.0020893349037578446
-4507,1687.4865784298458,1687.4844896706315,-0.002088759214302627
-4506,1687.6965156354831,1687.6945936323805,-0.0019220031026634388
-4505,1687.9064528411207,1687.9054541631394,-0.0009986779812152236
-4504,1688.116390046758,1688.1160071051238,-0.0003829416341432079
-4503,1688.3263272523955,1688.326805611645,0.00047835924965511367
-4502,1688.5362644580327,1688.5371904010335,0.000925943000765983
-4501,1688.74620166367,1688.7469250895456,0.0007234258755488554
-4500,1688.9561388693073,1688.9564089350758,0.00027006576851817954
-4499,1689.1660760749446,1689.1658980113293,-0.0001780636152943771
-4498,1689.376013280582,1689.375002274189,-0.0010110063929005264
-4497,1689.5859504862192,1689.5844496512993,-0.001500834919852423
-4496,1689.7958876918567,1689.7947604560113,-0.001127235845387986
-4495,1690.005824897494,1690.0045412632533,-0.0012836342407354095
-4494,1690.2157621031313,1690.2151772517086,-0.0005848514226727275
-4493,1690.4256993087688,1690.424672965659,-0.001026343109742811
-4492,1690.635636514406,1690.634522862005,-0.0011136524010453286
-4491,1690.8455737200434,1690.8441646784336,-0.0014090416098042624
-4490,1691.0555109256807,1691.0536218097566,-0.0018891159240865818
-4489,1691.265448131318,1691.2634852999574,-0.001962831360515338
-4488,1691.4753853369552,1691.473290149781,-0.0020951871742909134
-4487,1691.6853225425925,1691.683243445144,-0.0020790974485862534
-4486,1691.89525974823,1691.8929183105865,-0.0023414376435084705
-4485,1692.1051969538673,1692.1032983741031,-0.0018985797642017133
-4484,1692.3151341595049,1692.3139621177268,-0.0011720417780907155
-4483,1692.5250713651421,1692.5245210590076,-0.0005503061345280003
