n,fib_memo,fib,,,,,,,,,,,,,,,,,,,,,,,
0,9.54E-07,1.19E-06,,,,,,,,,,,,,,,,,,,,,,,
1,9.54E-07,0,,,,,,,,,,,,,,,,,,,,,,,
2,2.15E-06,9.54E-07,,,,,,,,,,,,,,,,,,,,,,,
3,2.15E-06,3.10E-06,,,,,,,,,,,,,,,,,,,,,,,
4,9.54E-07,7.15E-07,,,,,,,,,,,,,,,,,,,,,,,
5,9.54E-07,9.54E-07,,,,,,,,,,,,,,,,,,,,,,,
6,9.54E-07,2.15E-06,,,,,,,,,,,,,,,,,,,,,,,
7,9.54E-07,3.10E-06,,,,,,,,,,,,,,,,,,,,,,,
8,9.54E-07,5.96E-06,,,,,,,,,,,,,,,,,,,,,,,
9,0,1.00E-05,,,,,,,,,,,,,,,,,,,,,,,
10,9.54E-07,1.53E-05,,,,,,,,,,,,,,,,,,,,,,,
11,7.15E-07,2.41E-05,,,,,,,,,,,,,,,,,,,,,,,
12,1.19E-06,3.89E-05,,,,,,,,,,,,,,,,,,,,,,,
13,0,6.29E-05,,,,,,,,,,,,,,,,,,,,,,,
14,1.19E-06,0.000102043,,,,,,,,,,,,,,,,,,,,,,,
15,0,0.000161886,,,,,,,,,,,,,,,,,,,,,,,
16,7.15E-07,0.000258207,,,,,,,,,,,,,,,,,,,,,,,
17,9.54E-07,0.00039506,,,,,,,,,,,,,,,,,,,,,,,
18,9.54E-07,0.000585079,,,,,,,,,,,,,,,,,,,,,,,
19,0,0.000953197,,,,,,,,,,,,,,,,,,,,,,,
20,0,0.001538038,,,,,,,,,,,,,,,,,,,,,,,
21,9.54E-07,0.002837181,,,,,,,,,,,,,,,,,,,,,,,
22,2.15E-06,0.004121065,,,,,,,,,,,,,,,,,,,,,,,
23,1.91E-06,0.005897045,,,,,,,,,,,,,,,,,,,,,,,
24,9.54E-07,0.015300274,,,,,,,,,,,,,,,,,,,,,,,
25,2.15E-06,0.015884876,,,,,,,,,,,,,,,,,,,,,,,
26,1.67E-06,0.026881933,,,,,,,,,,,,,,,,,,,,,,,
