,time
0,1816.089791103483
1,1816.0911800411484
2,1816.092568978348
3,1816.093957916015
4,1816.095346853216
5,1816.0967357904156
6,1816.098124728081
7,1816.099513665282
8,1816.100902602483
9,1816.1022915401486
10,1816.103680477348
11,1816.1050694145486
12,1816.1064583522152
13,1816.1078472894155
14,1816.109236226616
15,1816.1106251638166
16,1816.112014101016
17,1816.1134030382163
18,1816.1147919758832
19,1816.1161809130836
20,1816.1175698502834
21,1816.1189587874837
22,1816.120347724685
23,1816.1217366618853
24,1816.1231255990847
25,1816.1245145362852
26,1816.1259034734862
27,1816.1272924106866
28,1816.1286813478864
29,1816.1300702850867
30,1816.131459222287
31,1816.1328481594876
32,1816.1342370962225
33,1816.1356260334228
34,1816.137014970623
35,1816.1384039078234
36,1816.1397928450247
37,1816.1411817817593
38,1816.142570718959
39,1816.1439596561586
40,1816.1453485933598
41,1816.1467375300952
42,1816.1481264672948
43,1816.1495154044947
44,1816.1509043412293
45,1816.1522932784303
46,1816.1536822151652
47,1816.1550711523646
48,1816.1564600890995
49,1816.1578490263005
50,1816.1592379635008
51,1816.1606269002357
52,1816.1620158369706
53,1816.16340477417
54,1816.1647937109046
55,1816.1661826481059
56,1816.1675715848405
57,1816.1689605220404
58,1816.1703494587741
59,1816.1717383955097
60,1816.173127332711
61,1816.1745162694447
62,1816.1759052061796
63,1816.177294142915
64,1816.1786830801152
65,1816.1800720168494
66,1816.181460953584
67,1816.1828498903187
68,1816.1842388270536
69,1816.1856277642541
70,1816.1870167009888
71,1816.1884056377235
72,1816.1897945744574
73,1816.1911835111928
74,1816.1925724479283
75,1816.1939613846623
76,1816.1953503213963
77,1816.1967392581319
78,1816.198128194867
79,1816.1995171316012
80,1816.2009060683354
81,1816.20229500507
82,1816.2036839418054
83,1816.2050728780746
84,1816.2064618148083
85,1816.2078507515432
86,1816.209239688278
87,1816.2106286250128
88,1816.2120175612822
89,1816.213406498017
90,1816.214795434751
91,1816.2161843714857
92,1816.2175733077556
93,1816.2189622444903
94,1816.2203511812245
95,1816.2217401174926
96,1816.2231290542281
97,1816.2245179909637
98,1816.2259069272318
99,1816.2272958639667
100,1816.228684800236
101,1816.2300737369706
102,1816.2314626732395
103,1816.2328516099742
104,1816.2342405462432
105,1816.2356294829779
106,1816.237018419247
107,1816.2384073555163
108,1816.239796292251
109,1816.2411852285193
110,1816.242574164789
111,1816.2439631015245
112,1816.2453520377926
113,1816.2467409740611
114,1816.2481299107958
115,1816.2495188470657
116,1816.2509077833347
117,1816.2522967196032
118,1816.2536856558722
119,1816.2550745926076
120,1816.2564635288768
121,1816.2578524651449
122,1816.2592414014139
123,1816.260630337683
124,1816.2620192739523
125,1816.2634082102218
126,1816.264797146491
127,1816.2661860827593
128,1816.2675750190278
129,1816.2689639552975
130,1816.2703528915672
131,1816.2717418278357
132,1816.2731307641038
133,1816.2745197003737
134,1816.2759086366436
135,1816.2772975729117
136,1816.2786865087153
137,1816.2800754449845
138,1816.2814643812535
139,1816.2828533175225
140,1816.2842422537915
141,1816.2856311895948
142,1816.2870201258634
143,1816.2884090621324
144,1816.2897979979366
145,1816.2911869342056
146,1816.2925758704737
147,1816.293964806278
148,1816.2953537425478
149,1816.296742678816
150,1816.2981316146188
151,1816.2995205508878
