time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1683.3538039957712,9.5955586e-01,1.2260742e-02,-1.0417896e-04,328247,184.99084,1034.14305,2.7158759e+02,3.4199290e+00,3.3116141e+02,1.3252872e+00,4.1829150e+02,5.3447275e+00,0,,,,,184.99084,6.9512469e-03,1034.14305,7.3573636e-03,-3.7424546e-03,-2.4965659e-02
1683.3551928846864,9.6806157e-01,1.2248284e-02,-1.0417834e-04,328248,184.99300,1034.14803,2.7393872e+02,3.4164538e+00,3.2877936e+02,1.3176167e+00,4.2199933e+02,5.3392963e+00,0,,,,,184.99300,6.9227782e-03,1034.14803,7.2804750e-03,-2.5690668e-03,-2.6293082e-02
1683.3565817735948,9.3061203e-01,1.2213953e-02,-1.0417773e-04,328249,184.99981,1034.14228,2.6346783e+02,3.4068778e+00,3.3063327e+02,1.3231176e+00,4.0567426e+02,5.3243308e+00,0,,,,,184.99981,7.1321903e-03,1034.14228,7.5479657e-03,-7.0024515e-03,-2.7140919e-02
1683.357970662495,9.3767184e-01,1.2192411e-02,-1.0417712e-04,328250,184.98330,1034.13415,2.6548813e+02,3.4008694e+00,3.2744046e+02,1.3172235e+00,4.0875177e+02,5.3149405e+00,0,,,,,184.98330,7.0625762e-03,1034.13415,7.4718385e-03,-8.0611873e-03,-3.1184368e-02
1683.359359551395,9.3225712e-01,1.2229043e-02,-1.0417652e-04,328251,184.98471,1034.15692,2.6383344e+02,3.4110868e+00,3.3147003e+02,1.3228073e+00,4.0639139e+02,5.3309088e+00,0,,,,,184.98471,7.1557765e-03,1034.15692,7.5739790e-03,-6.6720834e-03,-2.2556193e-02
1683.360748440296,9.2878997e-01,1.2201698e-02,-1.0417592e-04,328252,184.99193,1034.12894,2.6302954e+02,3.4034593e+00,3.2972937e+02,1.3195735e+00,4.0487997e+02,5.3189883e+00,0,,,,,184.99193,7.1633495e-03,1034.12894,7.5560547e-03,-5.8427993e-03,-2.5312698e-02
1683.3621373291967,9.2676944e-01,1.2173670e-02,-1.0417531e-04,328253,184.98814,1034.13707,2.6233990e+02,3.3956418e+00,3.2789957e+02,1.3162880e+00,4.0399918e+02,5.3067708e+00,0,,,,,184.98814,7.1366946e-03,1034.13707,7.5987685e-03,-8.9134481e-03,-3.1338897e-02
1683.3635262180906,8.8983214e-01,1.2116258e-02,-1.0417472e-04,328254,185.00079,1034.13988,2.5215582e+02,3.3796275e+00,3.2838144e+02,1.3190571e+00,3.8789740e+02,5.2817435e+00,0,,,,,185.00079,7.4015246e-03,1034.13988,7.8310501e-03,-6.7170886e-03,-2.8556895e-02
1683.364915106984,9.0746891e-01,1.2178547e-02,-1.0417412e-04,328255,184.99609,1034.14263,2.5685892e+02,3.3970020e+00,3.3108487e+02,1.3206962e+00,3.9558566e+02,5.3088965e+00,0,,,,,184.99609,7.2884713e-03,1034.14263,7.7604079e-03,-8.6747399e-03,-2.3212273e-02
1683.3663039958697,9.1160899e-01,1.2168705e-02,-1.0417353e-04,328256,184.99526,1034.14127,2.5811148e+02,3.3942568e+00,3.2835425e+02,1.3190805e+00,3.9739041e+02,5.3046064e+00,0,,,,,184.99526,7.2895382e-03,1034.14127,7.6811821e-03,-7.6008127e-03,-2.4199611e-02
1683.3676928847553,8.9967191e-01,1.2137813e-02,-1.0417294e-04,328257,184.99669,1034.14712,2.5479713e+02,3.3856399e+00,3.2874200e+02,1.3172227e+00,3.9218677e+02,5.2911396e+00,0,,,,,184.99669,7.3524122e-03,1034.14712,7.7930498e-03,-8.7905265e-03,-2.8796958e-02
1683.3690817736415,9.0472275e-01,1.2137114e-02,-1.0417235e-04,328258,184.98377,1034.13902,2.5619186e+02,3.3854449e+00,3.2738452e+02,1.3183111e+00,3.9438855e+02,5.2908349e+00,0,,,,,184.98377,7.3421793e-03,1034.13902,7.7352165e-03,-7.7501661e-03,-2.8807335e-02
1683.370470662528,8.6550891e-01,1.2115691e-02,-1.0417176e-04,328259,184.99763,1034.13617,2.4526904e+02,3.3794692e+00,3.3114178e+02,1.3219751e+00,3.7729437e+02,5.2814960e+00,0,,,,,184.99763,7.6232958e-03,1034.13617,8.0518862e-03,-8.8836523e-03,-3.4341138e-02
1683.371859551407,8.6998731e-01,1.2094206e-02,-1.0417118e-04,328260,185.00136,1034.14584,2.4649445e+02,3.3734765e+00,3.2887430e+02,1.3172870e+00,3.7924661e+02,5.2721305e+00,0,,,,,185.00136,7.5941905e-03,1034.14584,7.9877060e-03,-6.5950803e-03,-2.5869777e-02
1683.373248440279,8.7009591e-01,1.2095830e-02,-1.0417061e-04,328261,184.99287,1034.12851,2.4666376e+02,3.3739295e+00,3.2937958e+02,1.3199775e+00,3.7929395e+02,5.2728386e+00,0,,,,,184.99287,7.5661046e-03,1034.12851,8.0054561e-03,-1.0154077e-02,-3.2224473e-02
1683.3746373291578,8.5742414e-01,1.2095249e-02,-1.0417002e-04,328262,184.98007,1034.14438,2.4311072e+02,3.3737676e+00,3.3043408e+02,1.3200572e+00,3.7377005e+02,5.2725854e+00,0,,,,,184.98007,7.6903356e-03,1034.14438,8.1239808e-03,-7.6108561e-03,-2.7946355e-02
